task,category
Washing clothes,cleaning
Simmer stew,cooking
Clean bird feeders,outdoorCleaning
Bake pie crust,cooking
Rinse off patio furniture covers,outdoorCleaning
Rinsing off garden pots,gardening
Bake muffins,cooking
Rinse off sunscreen,showering
Wiping down appliances,cleaning
Make pizza dough,cooking
Wash outdoor windows,outdoorCleaning
Wash outdoor garden gates,outdoorCleaning
Whisk vinaigrette,cooking
Clean outdoor benches,outdoorCleaning
Boil potatoes,cooking
Take a shower,showering
Fry tofu,cooking
Rinse off seawater,showering
Rinse off outdoor sculptures,outdoorCleaning
Toast nuts,cooking
Rinse off honey mask,showering
Marinate meat,cooking
cleaning coffee maker,cleaning
Washing pool toys,cleaning
Rinsing mouth after eating,personalHygiene
Washing shower tiles,cleaning
Rinsing out plant trays,gardening
Washing reusable water bottles,cleaning
Rinsing after using the toilet,personalHygiene
Rinsing out shower mats,cleaning
Clean outdoor kitchen areas,outdoorCleaning
Knead dough,cooking
Rinse off outdoor garden beds,outdoorCleaning
Make salad dressing,cooking
Wash outdoor plant pots,outdoorCleaning
cleaning mirrors,cleaning
Rinsing off dirt from hands,personalHygiene
cleaning washing machine drum,cleaning
Caramelize onions,cooking
Grill steak,cooking
Watering lawn,gardening
Watering vegetable garden,gardening
cleaning kitchen sink,cleaning
Wash outdoor picnic tables,outdoorCleaning
Rinsing glass vases,cleaning
Cook rice,cooking
cleaning refrigerator filters,cleaning
Clean outdoor pergolas,outdoorCleaning
Clean outdoor railings,outdoorCleaning
Toast sesame seeds,cooking
Watering flowers,gardening
Wash outdoor tables,outdoorCleaning
Watering roses,gardening
Poach chicken,cooking
Wash outdoor pool deck,outdoorCleaning
Clean pool area,outdoorCleaning
cleaning indoor plants,cleaning
Use shower cap,showering
Clean outdoor lights,outdoorCleaning
Soaking and preparing garden soil,gardening
Fry chicken,cooking
Wash driveway,outdoorCleaning
Washing dish racks,cleaning
Make pancakes,cooking
Rinse off garden hose,outdoorCleaning
cleaning stovetop,cleaning
Rinsing out nasal passages,personalHygiene
Rinsing baby toys,cleaning
cleaning dishwasher racks,cleaning
Rinse off garden trellises,outdoorCleaning
Watering seedlings,gardening
Drip irrigation setup,gardening
Rinse conditioner,showering
Grill sausages,cooking
Cleaning and rinsing shaving equipment,personalHygiene
cleaning toilet bowl,cleaning
Roast nuts,cooking
Rinse off garden arches,outdoorCleaning
Rinse off patio umbrella,outdoorCleaning
Rinsing off garden trellises,gardening
Steam rice,cooking
cleaning washing machine seals,cleaning
Rinsing out sink strainers,cleaning
Rinse off sugar scrub,showering
Cleaning and rinsing soap dishes,personalHygiene
Braise beef,cooking
Rinsing out car mats,cleaning
Shave face,showering
Wash garden tool organizers,outdoorCleaning
Prepare salsa,cooking
Rinse off makeup,showering
Washing carpet with steam cleaner,cleaning
Rinsing kitchen trash bins,cleaning
Rinse off sweat,showering
Clean outdoor garden lights,outdoorCleaning
cleaning kitchen backsplash,cleaning
Washing and rinsing personal towels,personalHygiene
Washing light switches,cleaning
Rinsing cleaning cloths,cleaning
Wash garden ornaments,outdoorCleaning
Washing pet bedding,cleaning
Wash outdoor birdbaths,outdoorCleaning
Clean outdoor awnings,outdoorCleaning
Whip egg whites,cooking
Boil soup,cooking
Bake cookies,cooking
Rinse off garden benches,outdoorCleaning
Washing off plant leaves,gardening
cleaning coffee grinder,cleaning
cleaning garden tools,cleaning
Grill vegetables,cooking
Washing bathroom rugs,cleaning
Shave legs,showering
Clean outdoor stone sculptures,outdoorCleaning
Cleaning and refilling bird feeders,gardening
Boil seafood,cooking
Rinsing out pet dishes,cleaning
Brushing teeth,personalHygiene
Rinsing off sweat,personalHygiene
Washing outdoor steps,cleaning
Rinse off outdoor coolers,outdoorCleaning
Rinse off chlorine,showering
Fertilizing with water-soluble nutrients,gardening
Rinsing out trash cans,cleaning
Grill fish,cooking
Washing bed linens,cleaning
Rinsing mouth,personalHygiene
Washing back with a loofah,personalHygiene
Rinse off garden bird feeders,outdoorCleaning
Use natural soap,showering
Clean shower head,showering
cleaning ceiling fans,cleaning
Washing underarms,personalHygiene
Wipe down outdoor play equipment,outdoorCleaning
Rinse off outdoor lanterns,outdoorCleaning
Soaking garden soil,gardening
Rinsing air vents,cleaning
Wash garden bridges,outdoorCleaning
Cook beans,cooking
Wash outdoor garbage bins,outdoorCleaning
Scrub feet,showering
Roast chicken,cooking
Rinse off body scrub,showering
Washing gym equipment,cleaning
Fry chicken wings,cooking
Rinse body,showering
Steam dumplings,cooking
cleaning air conditioner filters,cleaning
Washing and rinsing body after using the gym,personalHygiene
Rinsing out a toothbrush,personalHygiene
Wash garden borders,outdoorCleaning
Rinse off bath salts,showering
cleaning light fixtures,cleaning
Washing hands,personalHygiene
Rinse off charcoal mask,showering
Washing hairbrushes,personalHygiene
Washing hands after touching pets,personalHygiene
cleaning dryer lint trap,cleaning
Rinsing body wash,personalHygiene
Washing garden hoses,cleaning
Watering herb garden,gardening
Rinsing out mop heads,cleaning
Cook polenta,cooking
Rinse off outdoor toys,outdoorCleaning
Washing off sunscreen,personalHygiene
Soaking seeds,gardening
Rinsing dirty mop heads,cleaning
Rinsing out vacuum filters,cleaning
Soaking newly planted trees,gardening
Rinse off garden bird baths,outdoorCleaning
Wash outdoor rugs,outdoorCleaning
Washing dishes,cleaning
Filling plant saucers,gardening
Shred lettuce,cooking
cleaning grout,cleaning
Washing pet toys,cleaning
Detox shower,showering
Washing towels,cleaning
Grill kebabs,cooking
Washing hair,personalHygiene
Rinsing off garden hoses after use,gardening
Rinse off seaweed wrap,showering
Rinse off garden statues,outdoorCleaning
Shaving with water,personalHygiene
Washing bathroom tiles,cleaning
cleaning oven door,cleaning
Simmer sauce,cooking
Rinsing bird feeders,cleaning
Grill chicken,cooking
Washing face with facial cleanser,personalHygiene
Washing outdoor furniture,cleaning
Washing hands before meals,personalHygiene
Saute garlic,cooking
Blend soup,cooking
Washing bathroom walls,cleaning
Rinse off garden paths,outdoorCleaning
Washing shower curtain,cleaning
Make custard,cooking
Rinse hair mask,showering
Cook barley,cooking
Poach salmon,cooking
Rinsing canisters,cleaning
Steam clams,cooking
Dice tomatoes,cooking
Rinsing out floor scrubbers,cleaning
Rinse off porch steps,outdoorCleaning
Use shower gel,showering
Mix batter,cooking
Wash hair,showering
Rinsing off plant pots,gardening
Watering shrubs,gardening
Rinse off coffee scrub,showering
Rinse off clay mask,showering
Clean outdoor faucets,outdoorCleaning
Washing and rinsing body after gardening,personalHygiene
Washing laundry baskets,cleaning
Steam vegetables,cooking
Fry dumplings,cooking
Mash potatoes,cooking
Clean patio furniture,outdoorCleaning
Slice cucumbers,cooking
Cleaning wounds with water,personalHygiene
Rinsing and cleaning toothbrush holder,personalHygiene
Rinse outdoor staircases,outdoorCleaning
Wash vegetables,cooking
Rinse off lawn furniture,outdoorCleaning
Rinse off barbecue area,outdoorCleaning
Watering hanging baskets,gardening
Washing feet,personalHygiene
Clean outdoor window screens,outdoorCleaning
Rinse off pool toys,outdoorCleaning
Make broth,cooking
Clean garage floor,outdoorCleaning
Rinsing watering cans,cleaning
Cleaning birdbaths,gardening
cleaning cabinet shelves,cleaning
